ExperimentID,Datetime,train_accuracy,val_accuracy
1,20210923-01:19:03,0.5352480411529541,0.3961605727672577
2,20210923-01:38:15,0.8590078353881836,0.7591623067855835
3,20210923-01:54:36,0.8302872180938721,0.7626526951789856
4,20210923-02:22:56,0.8533507585525513,0.6806282997131348
5,20210923-02:45:02,0.8463881611824036,0.6771378517150879
6,20210923-02:53:47,0.8494343161582947,0.7556719183921814
7,20210923-03:03:50,0.805047869682312,0.7050610780715942
8,20210923-03:14:35,0.817667543888092,0.753926694393158
9,20210923-09:36:31,0.9147084355354309,0.7364746928215027
10,20210923-10:01:35,0.9164490699768066,0.7452006936073303
16,20210923-11:20:27,0.8515081405639648,0.7649123072624207
17,20210923-11:22:41,0.9489558935165405,0.13684210181236267
18,20210923-11:28:10,0.9802784323692322,0.13684210181236267
19,20210923-11:35:06,0.9764114618301392,0.13684210181236267
20,20210923-11:45:48,0.992266058921814,0.13684210181236267
21,20210923-11:51:08,0.9992266297340393,0.9298245906829834
22,20210923-11:59:26,0.8499613404273987,0.6456140279769897
23,20210923-12:06:47,0.9984531998634338,0.9087719321250916
24,20210923-12:15:04,0.9988399147987366,0.9228070378303528
25,20210923-12:47:11,0.9974457025527954,0.9676870703697205
26,20210923-13:19:16,0.9992263317108154,0.9122806787490845
27,20210923-13:27:55,0.9984526038169861,0.8140350580215454
28,20210923-13:31:42,0.9927628636360168,0.9030612111091614
29,20210923-13:45:38,0.9984514117240906,0.9825783967971802
30,20210923-13:51:29,0.9988385438919067,0.9825783967971802
31,20210923-14:09:38,0.8617886304855347,0.7491289377212524
32,20210923-14:14:11,0.9995743036270142,0.9659863710403442
33,20210923-14:18:36,0.9992257356643677,0.9616724848747253
34,20210923-14:23:04,0.9988385438919067,0.9686411023139954
35,20210923-14:32:45,0.9988385438919067,0.9686411023139954
36,20210923-14:37:29,0.996515691280365,0.9756097793579102
37,20210923-14:41:54,0.9988385438919067,0.9825783967971802
38,20210923-14:45:26,0.9969028234481812,0.9686411023139954
39,20210923-14:48:36,0.9988385438919067,0.9756097793579102
40,20210923-14:51:39,0.9980642795562744,0.9756097793579102
41,20210923-14:54:11,0.9988385438919067,0.9756097793579102
42,20210923-14:59:35,1.0,0.9721254110336304
43,20210923-15:01:08,1.0,0.9721254110336304
44,20210923-17:08:39,0.999216616153717,0.90625
45,20210923-17:18:31,0.9972581267356873,0.1328125
46,20210923-17:34:05,1.0,0.9140625
47,20210923-18:33:31,0.8350754976272583,0.7595818638801575
48,20210923-18:37:42,0.9948914647102356,0.9659863710403442
49,20210923-18:42:25,0.9984526038169861,0.9333333373069763
50,20210923-18:46:53,0.9957428574562073,0.9608843326568604
51,20210923-18:51:06,0.9982971549034119,0.9608843326568604
52,20210923-18:55:17,0.9970200061798096,0.9659863710403442
53,20210923-18:58:45,0.9970200061798096,0.9693877696990967
54,20210923-19:04:59,0.9982971549034119,0.9676870703697205
55,20210923-19:07:42,0.9982971549034119,0.9727891087532043
56,20210923-19:10:50,0.9987228512763977,0.9795918464660645
57,20210923-19:13:38,0.9991485476493835,0.9778911471366882
58,20210923-19:18:38,0.9987228512763977,0.9659863710403442
59,20210923-19:20:11,0.9995743036270142,0.9625850319862366
60,20210923-19:38:59,0.9984526038169861,0.9052631855010986
61,20210923-21:44:59,0.9863771796226501,0.9863945841789246
62,20210923-21:47:54,0.9945841431617737,0.4736842215061188
63,20210923-22:56:21,0.9972920417785645,0.898245632648468
