ExperimentID,Datetime,train_accuracy,val_accuracy
1,20210924-03:07:48,0.7371573448181152,0.6738457083702087
2,20210924-03:15:59,0.7246500253677368,0.6811003088951111
3,20210924-03:31:41,0.7892837524414062,0.6377994418144226
4,20210924-03:41:42,0.7927223443984985,0.6474722027778625
5,20210924-03:48:17,0.8224602937698364,0.5524824261665344
6,20210924-13:39:13,0.773300051689148,0.6632660627365112
7,20210924-13:51:52,0.6197358965873718,0.5197612047195435
8,20210924-14:13:49,0.8049273490905762,0.6586564183235168
9,20210924-14:26:18,0.7792514562606812,0.6691604256629944
10,20210924-14:35:43,0.7804417014122009,0.6512506604194641
11,20210924-14:36:47,0.785542905330658,0.6517040729522705
12,20210924-14:37:26,0.7887169718742371,0.6670445203781128
13,20210924-14:38:08,0.7855051159858704,0.6764150261878967
14,20210924-14:38:54,0.7853161692619324,0.6776996850967407
15,20210924-14:39:53,0.7844470739364624,0.6649286150932312
16,20210924-15:11:33,0.8163011074066162,0.6535177230834961
17,20210924-15:18:17,0.8128436207771301,0.6591853499412537
18,20210924-15:23:29,0.8160176873207092,0.6247260570526123
19,20210924-15:25:19,0.7955563068389893,0.6622081398963928
20,20210924-15:27:59,0.7817642688751221,0.6687825918197632
21,20210924-15:32:43,0.784673810005188,0.6617547273635864
22,20210924-15:34:30,0.7649114727973938,0.6793621778488159
23,20210924-15:36:15,0.7551437020301819,0.6681780219078064
24,20210924-15:41:34,0.6995787024497986,0.6742991209030151
25,20210924-15:49:14,0.7192087769508362,0.6798911690711975
26,20210924-16:27:28,0.6399516463279724,0.6279755234718323
27,20210924-18:28:41,0.6732226014137268,0.6447517275810242
28,20210924-18:40:30,0.7309792637825012,0.6795133352279663
